x,y,elevation,conv_k3,mrrtf_t42,mrvbf_t42,aspect,easterness,fishersK_k3,fishersK_k5,fishersK_k7,fishersK_k9,geomorphons,grass_aspect,grass_pcurve,grass_slope,grass_tcurve,northerness,northerness_slope,slope,stdDev_k3,stdDev_k5,stdDev_k7,stdDev_k9,topoRoughIdx_k3,topoRoughIdx_k5,topoRoughIdx_k7,topoRoughIdx_k9,topoWetIdx,vector_strength_k3,vector_strength_k5,vector_strength_k7,vector_strength_k9
2512077,1980676,-242.42138647460894,2.55701327323914,0.000587813685133,0.002149672875066,357.308380126953,0.0877611488103867,0.019403450191021,0.0544858053326607,0.088045746088028,0.109470672905445,6,5.03482055664062,-0.0046596811152994,24.6983432769775,-0.0060749668627977,0.99614155292511,24.6030464172363,29.1743679046631,1.88907945156097,2.50063419342041,3.03290557861328,3.44483208656311,3.56862092018127,6.25317192077637,9.19851684570312,11.866868019104,5.25407314300537,8.84477233886719,23.6923408508301,44.7738037109375,72.2423477172852
2995169,1980676,-265.76190161132797,2.75911092758179,4.17963076058125e-05,0.0065760505506758,51.9888153076172,0.839243769645691,0.0022226488217711,0.0119703514501452,0.0294441822916269,0.0459115691483021,6,57.0603523254395,-0.0077609485015273,33.4987640380859,-0.0018924218602478,0.543755292892456,18.2151317596436,30.10791015625,2.69758105278015,4.81446027755737,6.95243501663208,9.06780433654785,7.27694416046143,23.1790256500244,48.3363571166992,82.2250747680664,4.65681743621826,8.98221874237061,24.7127113342285,47.5866775512695,77.3270721435547
3478260,1980676,-308.60800146484394,-0.724847257137299,0.0021223626599865,0.0273214423380644,42.8239631652832,0.661692202091217,0.0003566498635336,0.0009020935394801,0.0016343321185559,0.0027163319755345,6,41.4290580749512,-0.0035845483653247,23.7049236297607,0.000575226789806,0.749775588512421,17.7733726501465,24.4547424316406,1.79101359844208,2.99885702133179,4.28261804580688,5.64392375946045,3.20772981643677,8.99314403533936,18.3408164978027,31.8538780212402,5.79297733306885,8.99714660644531,24.9783496856689,48.9215507507324,80.7826919555664
3961352,1980676,-335.85180639648394,-1.31064224243164,0.0543084237496839,0.43154367874541,7.3958854675293,0.0991334021091461,0.0001351740647805,0.0003459594445303,0.0005609690560959,0.000661420810502,6,5.68927001953125,0.0024086730554699,11.2479228973389,0.0001559656520839,0.995074152946472,11.1925172805786,10.3900737762451,0.812188982963562,1.43832242488861,2.02496910095215,2.51810574531555,0.659650921821594,2.06877136230469,4.10049962997437,6.34085655212402,6.85144138336182,8.9989185333252,24.9916973114014,48.973072052002,80.9470901489258
4444444,1980676,-347.79379248046894,0.44177183508873,0.0616758725351359,1.31269968382736,39.4513664245605,0.649505615234375,3.31545707012992e-05,0.0004944810061715,0.0014822967350482,0.0023572002537548,6,40.504337310791,9.3641305284109e-05,5.21373748779297,4.57842761534266e-05,0.760356783866882,3.96430087089539,5.2902979850769,0.37246760725975,0.646462380886078,0.914622724056244,1.17511224746704,0.138732120394707,0.41791358590126,0.836534678936005,1.38088893890381,11.3718099594116,8.99973487854004,24.9881324768066,48.9288482666016,80.8114242553711
4927536,1980676,-358.602599853516,2.7827534267999e-06,1.98486013391059,3.98245620703922,-1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,49.0,81.0
386473,2004830,-344.52459692382797,1.12265062332153,0.107475834443102,0.4613141355168,259.121643066406,-0.983308732509613,0.0031511059496551,0.0057399668730795,0.0202475227415562,0.0462086088955402,6,259.516937255859,-0.0032235670369118,5.80885124206543,-0.0013393020490184,-0.181944862008095,-1.05689060688019,6.63082313537598,0.420222491025925,0.772672832012177,1.07711172103882,1.33839440345764,0.17658694088459,0.597023248672485,1.16016972064972,1.79129958152771,6.25471687316895,8.97479152679443,24.8622417449951,48.0281181335449,77.3033142089844
869565,2004830,-309.818908447266,3.76408219337463,0.006629630940799,0.0810001059593369,233.592803955078,-0.825602531433105,0.0184905584901571,0.0450518354773521,0.102793261408806,0.217396080493927,6,235.649627685547,-0.0130555862560868,24.0429363250732,-0.0081561421975493,-0.564252078533173,-13.5662775039673,21.4220352172852,1.83593571186066,4.14981365203857,6.32118940353394,7.89467191696167,3.37066006660461,17.2209548950195,39.9574317932129,62.3258476257324,6.64090156555176,8.85207557678223,23.9187564849854,44.0659217834473,63.6083145141602
1352657,2004830,-221.88461279296894,0.307991206645966,4.88838531271796e-05,0.0006452059083004,235.551223754883,-0.825549066066742,2.34050930885132e-05,0.0002306406095158,0.0015247840201482,0.0056259781122207,6,235.644195556641,-0.0001156605285359,32.0791625976562,0.0008868479053489,-0.564330399036407,-18.1032466888428,32.2607231140137,2.55800485610962,4.52193450927734,6.53602170944214,8.70520401000977,6.54338836669922,20.4478931427002,42.7195816040039,75.7805786132812,6.24950170516968,8.99981307983398,24.9944648742676,48.9268112182617,80.549919128418
1835748,2004830,-131.92831396484394,34.5131072998047,2.77798845091508,1.94712238796073,297.802001953125,-0.635112524032593,0.218903422355652,0.321270734071732,0.396740645170212,0.482610285282135,7,219.428329467773,-0.0045151049271225,3.25396537780762,-0.0076763383112847,-0.772419631481171,-2.51342678070068,2.40384984016418,0.252004563808441,0.840403854846954,1.38688158988953,1.8967387676239,0.0635062977671623,0.706278681755066,1.92344045639038,3.59761786460876,7.91273784637451,7.24877262115479,17.2895011901855,29.9564476013184,42.3911781311035
2318840,2004830,-242.02410864257797,3.06539940834045,0.0319454349396769,0.303530844463358,57.8135375976562,0.808050274848938,0.050794817507267,0.0893597975373268,0.113203510642052,0.14969339966774,5,53.9058723449707,0.0204009283334017,10.7006664276123,0.0087991300970315,0.589113533496857,6.30390739440918,15.5575103759766,0.784079432487488,0.970874965190887,1.07653307914734,1.2064071893692,0.61478054523468,0.942598164081573,1.15892350673676,1.45541822910309,4.26569557189941,8.59364128112793,22.8553657531738,43.5662307739258,69.024528503418
